Name,Type,Trip_advisor_ratings,Yellow_page_ratings,Website_link,Directions_link,Menu_link,Total_business_years,Amenities_available,Description,Order_online,Phone_Number,Street_address,locality,Price_range
Palermo Ristorante Italiano,"['Restaurants', 'Pizza', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""135""}","{'rating': 'four and half', 'count': '44'}",http://palermorestaurant.net,http://www.yellowpages.com/listings/1001234798248/directions,http://www.yellowpages.com/los-angeles-ca/mip/palermo-ristorante-italiano-540709640?lid=1001234798248#open-menu,44 Years,['Wheelchair accessible'],"Absolutely delectable! The best pizza experience I've had. A crispy, thin crust topped with premium ingredients that burst with flavor in every bite. Perfectly balanced cheese…",True,(323) 663-1178,1858 N Vermont Ave,"Los Angeles, CA 90027",$
Casa Bianca Pizza Pie,"['Restaurants', 'Pizza', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""107""}","{'rating': 'four and half', 'count': '35'}",http://www.casabiancapizza.com,,http://www.yellowpages.com/los-angeles-ca/mip/casa-bianca-pizza-pie-13519?lid=1000448030198#open-menu,68 Years,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations', 'Good for families']","Test#good food#good ambiance""",False,(323) 256-9617,,"Los Angeles, CA 90041",$$
Oyabun Seafood,"['Restaurants', 'Seafood Restaurants', 'Asian Restaurants']",,"{'rating': 'four', 'count': '3'}",https://www.oyabunseafood.com,http://www.yellowpages.com/listings/1002166518717/directions,,5 Years,,"#highly recommended #reasonable prices #friendly staff""",True,(323) 716-4355,3060 W Olympic Blvd #150,"Los Angeles, CA 90006",
Dulan Soul Food Kitchen,"['Restaurants', 'Soul Food Restaurants', 'American Restaurants']","{""rating"":""4.0"",""count"":""1""}","{'rating': 'four', 'count': '6'}",http://www.dulans-sfk.com,,,28 Years,"['Offers outdoor seating', 'Wheelchair accessible']","tast good, awesome , nice place""",False,(323) 418-8527,,"Los Angeles, CA 90047",$$
Mauro's Restaurant,"['Restaurants', 'Breakfast, Brunch & Lunch Restaurants', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""44""}","{'rating': 'five', 'count': '4'}",http://www.mauroscafe.com,,http://www.yellowpages.com/los-angeles-ca/mip/mauros-restaurant-4381539#open-menu,12 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","awweeeessomeee good food n""",True,(323) 653-7970,8112 Melrose Ave,"Los Angeles, CA 90046",$$
Dinah's Family Restaurant,"['Restaurants', 'Family Style Restaurants', 'Caterers']","{""rating"":""4.0"",""count"":""284""}","{'rating': 'four', 'count': '9'}",,,http://www.yellowpages.com/los-angeles-ca/mip/dinahs-family-restaurant-2371111#open-menu,32 Years,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","#good food #good ambiance #friendly staff""",True,(310) 645-0456,6521 S Sepulveda Blvd,"Los Angeles, CA 90045",$$
Canele,"['Restaurants', 'French Restaurants', 'American Restaurants']",,"{'rating': 'four', 'count': '6'}",http://www.canele-la.com,,http://www.yellowpages.com/los-angeles-ca/mip/canele-6655577#open-menu,11 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","Great food, this one is my go to resto whenever I need a comfort food. The ambiance is good and the people are kind.""",True,(323) 666-7133,3219 Glendale Blvd,"Los Angeles, CA 90039",$$
Tacos Baja,"['Restaurants', 'Mexican Restaurants', 'Seafood Restaurants']","{""rating"":""4.5"",""count"":""11""}","{'rating': 'four and half', 'count': '11'}",http://www.lataco.com/taco/tacos-baja-ensenada-east-los-angeles,,http://www.yellowpages.com/los-angeles-ca/mip/tacos-baja-19218906#open-menu,,,"Nice place for fast food, people who work there are friendly. Food is great and orders are decently quick.""",True,(323) 887-1980,5385 Whittier Blvd,"Los Angeles, CA 90022",$
Fish Grill,"['Restaurants', 'Seafood Restaurants', 'American Restaurants']","{""rating"":""4.5"",""count"":""50""}","{'rating': 'four and half', 'count': '9'}",https://fishgrill.com/locations,,http://www.yellowpages.com/los-angeles-ca/mip/fish-grill-9479385#open-menu,15 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Good for families']","#good ambiance #friendly staff #kid friendly""",True,(323) 937-7162,7226 Beverly Blvd,"Los Angeles, CA 90036",$$
Maria's Italian Kitchen,"['Restaurants', 'Italian Restaurants']","{""rating"":""4.0"",""count"":""45""}","{'rating': 'three', 'count': '1'}",http://www.mariasitaliankitchen.com,,http://www.yellowpages.com/los-angeles-ca/mip/marias-italian-kitchen-459714534#open-menu,48 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations', 'Good for families']","#highly recommended#good food#kid friendly#reasonable prices#good ambiance#friendly staff#must try""",False,(310) 441-3663,10761 W Pico Blvd,"Los Angeles, CA 90064",$$
TGI Fridays,"['Restaurants', 'American Restaurants', 'Bar & Grills']",,"{'rating': None, 'count': None}",https://locations.tgifridays.com/ca/los-angeles/6721-la-tijera-blvd.html,,,11 Years,,"From Business: Fridays in Los Angeles, CA is America’s most iconic bar and grill. We embrace and celebrate our heritage as a bar. One that just happens to serve killer food in…",False,(310) 337-1143,6721 La Tijera Blvd,"Los Angeles, CA 90045",$$
Marouch Restaurant,"['Restaurants', 'Middle Eastern Restaurants', 'Mediterranean Restaurants']","{""rating"":""4.5"",""count"":""44""}","{'rating': 'four and half', 'count': '12'}",http://www.marouchrestaurant.com,,http://www.yellowpages.com/los-angeles-ca/mip/marouch-restaurant-465004155#open-menu,,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","#good food #highly recommended #good ambiance""",True,(323) 662-9325,4905 Santa Monica Blvd,"Los Angeles, CA 90029",$$
Divino,"['Restaurants', 'Italian Restaurants', 'Pizza']","{""rating"":""4.0"",""count"":""75""}","{'rating': 'four and half', 'count': '7'}",http://www.divinobrentwood.com,,http://www.yellowpages.com/los-angeles-ca/mip/divino-457406941#open-menu,27 Years,"['Offers outdoor seating', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","#highly recommended#good food#kid friendly#reasonable prices#good ambiance#friendly staff#must try""",True,(310) 472-0886,11714 Barrington Ct,"Los Angeles, CA 90049",$$$
