Name,Type,Trip_advisor_ratings,Yellow_page_ratings,Website_link,Directions_link,Menu_link,Total_business_years,Amenities_available,Description,Order_online,Phone_Number,Street_address,locality,Price_range
EJ's Luncheonette,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.0"",""count"":""268""}","{'rating': None, 'count': None}",http://www.ejsluncheonette.com,,http://www.yellowpages.com/new-york-city-ny/mip/ejs-luncheonette-11614397#open-menu,33 Years,"['Wheelchair accessible', 'Serves alcohol']",From Business: EJ's Luncheonette is a NYC iconic restaurant celebrating its 27th year of business. EJ's is known to both locals and tourists from all over the world to serve…,True,(212) 472-0600,1271 3rd Ave  Close To The 72nd Street Crosstown Bus,"New York City, NY 10021",$$
Route 66 Cafe,"['Restaurants', 'American Restaurants', 'Coffee Shops']","{""rating"":""4.0"",""count"":""396""}","{'rating': 'five', 'count': '1'}",http://www.route66nyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/route-66-cafe-5516143#open-menu,27 Years,"['Offers outdoor seating', 'Serves alcohol']","Great American style food but not a low end bbq joint. Good quality and fun ambience for a small privately owned joint. Really good menu with reasonable prices.""",True,(212) 977-7600,858 9th Ave  Between 55th And 56th Streets,"New York City, NY 10019",$$
The Sea Fire Grill,"['Restaurants', 'Seafood Restaurants', 'Bars']","{""rating"":""4.5"",""count"":""1149""}","{'rating': 'four', 'count': '1'}",http://www.theseafiregrill.com,,http://www.yellowpages.com/new-york-city-ny/mip/the-sea-fire-grill-475209586#open-menu,11 Years,"['Has Wifi', 'Serves alcohol', 'Takes reservations']","My husband and I went to Manhattan, N.Y. to celebrate. One of the nights he made reservations to The Seafire Grill for dinner. Upon entering the restaurant the ambience was…",False,(212) 935-3785,158 E 48th St  Between 3rd And Lexington Avenue,"New York City, NY 10017",$$$$
Bobo,"['Restaurants', 'Continental Restaurants', 'Bars']","{""rating"":""4.0"",""count"":""207""}","{'rating': 'four', 'count': '1'}",http://www.bobonyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/bobo-15132403#open-menu,16 Years,,"We ordered Duck and Scallopsboth great!dont let the bread fill you up!Drinks are fun... ""the legend"" is a solid choice.""",True,(212) 488-2626,181 W 10th St  At Seventh Avenue,"New York City, NY 10014",$$$$
Koi Restaurant,"['Restaurants', 'Sushi Bars', 'Family Style Restaurants']","{""rating"":""4.0"",""count"":""848""}","{'rating': None, 'count': None}",http://www.koirestaurant.com,,http://www.yellowpages.com/new-york-city-ny/mip/koi-restaurant-474226275#open-menu,18 Years,"['Good for groups', 'Serves alcohol']","From Business: Rich earth tones of orange, red and brown impart warmth to the cool and tranquil space. Thin tapestries of translucent rose fabric are embellished with flame…",False,(212) 921-3330,40 W 40th St  Bryant Park Hotel,"New York City, NY 10018",$$$
Farm To Burger,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""4.0"",""count"":""27""}","{'rating': None, 'count': None}",https://www.farmtoburger.com/contact,,,,,"From Business: At FARMTOBURGER we aim to deliver a more wholesome product to our guests. We've taken great care to source the meat for our burgers from smaller, grass-fed…",False,(646) 609-5200,310 W 40th St  At The Aliz Hotel,"New York City, NY 10018",
Ikinari Steak Times Square,"['Restaurants', 'Steak Houses', 'Japanese Restaurants']","{""rating"":""4.5"",""count"":""32""}","{'rating': None, 'count': None}",http://ikinaristeakusa.com,,http://www.yellowpages.com/new-york-city-ny/mip/ikinari-steak-times-square-543605176#open-menu,,,From Business: Craving Meat? Just Dig In! Ikinari Steak is a Japan-based steak restaurant chain. The idea behind Ikinari Steak is to serve super thick high-quality meat quickly…,False,(917) 409-5940,368 W 46 St  Between 8th And 9th Ave,"New York City, NY 10036",$$$
Molyvos,"['Restaurants', 'Mediterranean Restaurants', 'Greek Restaurants']","{""rating"":""4.5"",""count"":""1098""}","{'rating': None, 'count': None}",http://www.molyvos.com,,,,,"From Business: Owned and operated by the Livanos Restaurant Group, Molyvos, a beloved Greek restaurant in Midtown Manhattan, is celebrating 25 years with a new location, new…",False,(212) 582-7500,402 W 43rd St  Between 9th And 10th,"New York City, NY 10036",
Cafe 45,"['Restaurants', 'Coffee & Espresso Restaurants', 'Caterers']","{""rating"":""3.5"",""count"":""26""}","{'rating': None, 'count': None}",,,,12 Years,,"From Business: Perfect place for the budget traveler; buffet eatery, lots of choices, pay by weight. Seating on two floors.Perfect place for the budget traveler; buffet eatery,…",False,(212) 997-4622,2 W 45th St  Between 5th & 6th Ave.,"New York City, NY 10036",$
Stella 34 Trattoria,"['Restaurants', 'Italian Restaurants', 'Pizza']","{""rating"":""4.0"",""count"":""1075""}","{'rating': None, 'count': None}",https://www.patinagroup.com,,http://www.yellowpages.com/new-york-city-ny/mip/stella-34-trattoria-475168117#open-menu,13 Years,,From Business: Italian Restaurant in New York City.Italian Restaurant in New York City.,False,(212) 967-9251,151 W 34th St  Macy's Herald Square   6th Floor,"New York City, NY 10001",$$$
